run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,Test_Balanced_Accuracy,Test_F1,Test_AUROC,Test_AP,Val_Balanced_Accuracy,Val_F1,Val_AUROC,Val_AP,wandb_notes
7245606145.46079-f858be65-65ea,resenc_SwinUNETR_pretrained_t1n_2025-08-05_15-27-50,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncoder_Classifier,3e-05,4,200,200.0,0.5,0.3418803513050079,0.9074324369430542,0.9025745391845704,0.9223839044570924,0.92099791765213,0.9923769235610962,0.99271559715271,
7245697216.55037-a64d826e-c6e6,resenc_SwinUNETR_pretrained_t1n_2025-08-04_10-24-48,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncoder_Classifier,8e-05,4,200,200.0,0.5,0.3418803513050079,0.9050675630569458,0.900088906288147,0.9743589758872986,0.9736841917037964,0.9986139535903932,0.998653769493103,
7245586802.06283-b09209a2-866e,resenc_SwinUNETR_pretrained_t1n_2025-08-05_17-13-00,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncoder_Classifier,7e-05,4,180,180.0,0.5,0.3418803513050079,0.9040540456771852,0.899600625038147,0.9480249881744384,0.9473684430122375,0.9916839599609376,0.992081582546234,
7245820297.17992-66ffac94-b54e,resenc_time_conditioned_pretrained_t2w_2025-08-03_02-19-37,july_stratified_brats23_men_vs_met_single_t2w,T2w,ResEncTimeConditioned,8e-05,4,200,200.0,0.6875,0.6464646458625793,0.9027026891708374,0.8866183757781982,0.9743589758872986,0.9736841917037964,0.9972280263900756,0.99732506275177,
7245318482.87261-798d90d8-7602,resenc_MDAE_pretrained_t1c_2025-08-08_19-43-02,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncoder_Classifier,6e-05,4,200,200.0,0.6364865303039551,0.5828507542610168,0.8945945501327515,0.900705099105835,0.8697158694267273,0.8683298826217651,0.9553014039993286,0.956889271736145,
7245319319.70338-10b5e995-2fb7,resenc_MDAE_pretrained_t1c_2025-08-08_19-24-05,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncoder_Classifier,6e-05,4,200,200.0,0.6364865303039551,0.5828507542610168,0.8925676345825195,0.8990225791931152,0.8953568935394287,0.8947368264198303,0.9653500318527222,0.9678174257278442,
7245717962.06717-8f70850d-9821,brainmvp_pretrained_t1n_2025-08-04_04-39-22,july_stratified_brats23_men_vs_met_single_t1n,T1n,brainmvp,6e-05,4,200,200.0,0.6902027130126953,0.6691575050354004,0.8878378868103027,0.8923898339271545,0.5595980882644653,0.5368421077728271,0.5765765905380249,0.606843888759613,
7246051587.22205-df5d5424-2c54,brainmvp_pretrained_t1c_2025-07-31_08-04-58,july_stratified_brats23_men_vs_met_single_t1c,T1c,brainmvp,2e-05,4,100,100.0,0.6766892075538635,0.651583731174469,0.8729729652404785,0.8644387722015381,0.7331947088241577,0.7301136255264282,0.8419958353042603,0.8294276595115662,
7245589756.70355-799f560c-07c2,resenc_pretrained_t2w_2025-08-05_16-24-09,july_stratified_brats23_men_vs_met_single_t2w,T2w,ResEncoder_Classifier,7e-05,4,180,180.0,0.6114864945411682,0.5455930233001709,0.8689188957214355,0.8705158233642578,1.0,1.0,1.0,1.0,
7245971494.05809-944a6c3c-3f2f,brainmvp_pretrained_t2w_2025-08-01_06-20-08,july_stratified_brats23_men_vs_met_single_t2w,T2w,brainmvp,0.0001,4,100,100.0,0.5,0.3245614171028137,0.8608108162879944,0.861569881439209,0.4934164881706238,0.4627976417541504,0.6063755750656128,0.6269569396972656,
7246051424.08945-8c197b18-db1a,dinov2_pretrained_t1c_2025-07-31_11-02-57,july_stratified_brats23_men_vs_met_single_t1c,T1c,dinov2,2e-05,1,50,100.0,0.6229729652404785,0.5722222328186035,0.8277026414871216,0.8360294103622437,0.9743589758872986,0.9736841917037964,0.9972280263900756,0.9973219037055968,
7245875451.58962-22a6fdd8-4b16,resenc_time_conditioned_pretrained_t1c_2025-08-02_08-58-48,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncTimeConditioned,8e-05,4,200,200.0,0.637499988079071,0.5749095678329468,0.8246622085571289,0.8320603370666504,0.9352044463157654,0.9341990947723388,0.9764379262924194,0.9771072864532472,
7245607335.94079-f9130551-8e9c,resenc_VoCo_pretrained_t2f_2025-08-05_11-30-53,july_stratified_brats23_men_vs_met_single_t2f,T2f,ResEncoder_Classifier,3e-05,4,200,200.0,0.6489864587783813,0.6007407903671265,0.8189189434051514,0.8162184953689575,0.9487179517745972,0.9473319053649902,0.9961885213851928,0.995997190475464,
7245913852.98332-6a761f9c-7beb,brainiac_pretrained_t2f_2025-08-01_22-14-13,july_stratified_brats23_men_vs_met_single_t2f,T2f,brainiac,6e-05,4,200,200.0,0.5625,0.4505606591701507,0.8168919086456299,0.831814706325531,0.9487179517745972,0.9473319053649902,0.984753966331482,0.9856576919555664,
